Task,Cost,Time
12 to 12,12,70
12 to 12,12,61
12 to 12,12,70
12 to 12,70,281
12 to 12,70,286
12 to 12,72,277
12 to 12,107,454
12 to 12,112,481
12 to 12,115,490
12 to 12,138,594
12 to 12,142,612
12 to 12,144,620
24 to 24,24,106
24 to 24,142,542
24 to 24,255,1019
24 to 24,339,1372
24 to 24,24,113
24 to 24,142,546
24 to 24,248,996
24 to 24,339,1366
24 to 24,21,99
24 to 24,140,528
24 to 24,244,976
24 to 24,332,1338
96 to 96,81,374
96 to 96,591,2202
96 to 96,1046,3885
96 to 96,1505,5454
96 to 96,84,385
96 to 96,599,2247
96 to 96,1044,3830
96 to 96,1502,5439
96 to 96,84,378
96 to 96,597,2242
96 to 96,1048,3882
96 to 96,1517,5477
384 to 384,6486,23841
384 to 384,2668,9917
384 to 384,6480,23705
384 to 384,670,2495
384 to 384,4604,17033
384 to 384,672,2502
384 to 384,2648,9888
384 to 384,4601,17111
384 to 384,672,2532
384 to 384,4615,16976
384 to 384,2650,9907
384 to 384,6477,23751
