iteration,number of jobs,Aspiration speed,Dispensing speed,Overhead time,unoptimized,rowwise,greedy,VRP
1,88,100,25,2.5,110,110,450.0,110.0
2,309,100,25,2.5,1766,1432,1911.5,1055.7
3,293,100,25,2.5,1749,1686,1888.0,1128.9
4,299,100,25,2.5,1693,1685,1922.9,1098.2
5,308,100,25,2.5,1728,1704,1945.0,1122.0
6,295,100,25,2.5,1631,1606,1894.5,1132.9
7,295,100,25,2.5,1671,1619,1886.7,1083.1
8,301,100,25,2.5,1738,1621,1908.5,1089.5
1,88,50,50,2.5,99,99,405.0,99.0
2,309,50,50,2.5,1668,1318,1828.2,1076.5
3,293,50,50,2.5,1664,1589,1799.8,1125.0
4,299,50,50,2.5,1615,1587,1835.2,1095.5
5,308,50,50,2.5,1648,1611,1859.7,1166.6
6,295,50,50,2.5,1548,1512,1808.8,1131.7
7,295,50,50,2.5,1592,1522,1800.1,1126.8
8,301,50,50,2.5,1648,1519,1822.4,1142.1
1,88,25,100,2.5,110,110,450.0,110.0
2,309,25,100,2.5,1729,1333,1911.5,1126.8
3,293,25,100,2.5,1742,1653,1886.5,1262.0
4,299,25,100,2.5,1696,1648,1922.6,1251.0
5,308,25,100,2.5,1726,1674,1948.0,1272.6
6,295,25,100,2.5,1620,1572,1897.5,1240.7
7,295,25,100,2.5,1670,1578,1887.3,1247.4
8,301,25,100,2.5,1720,1568,1910.0,1226.1
