source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
12,12,7,1,18,18,19.72,17.0
12,12,19,1,43,41,45.8,33.51
12,12,31,1,76,76,80.07000000000001,65.32
12,12,43,1,109,95,114.93,73.62
12,12,55,1,149,123,160.05,96.07
12,12,67,1,162,141,176.86,103.75
12,12,79,1,186,159,225.54999999999998,118.8
12,12,91,1,241,184,263.93,147.25
12,12,103,1,239,197,253.37000000000003,154.07
12,12,115,1,267,212,319.98999999999995,168.87
12,24,19,1,56,50,55.8,46.17
12,24,43,1,110,94,109.81,75.34
12,24,67,1,184,142,191.41,112.77
12,24,91,1,235,196,263.45000000000005,148.65
12,24,115,1,294,222,318.22999999999996,177.35
12,24,139,1,358,272,391.01,216.75
12,24,163,1,400,322,464.49,242.55
12,24,187,1,438,328,524.95,268.88
12,24,211,1,496,378,586.1800000000001,298.99
12,24,235,1,528,434,644.8100000000001,330.21
12,96,91,1,258,225,266.97999999999996,176.64
12,96,187,1,509,404,529.82,334.52
12,96,283,1,761,585,805.8899999999999,473.47
12,96,379,1,983,734,1076.35,606.6
12,96,475,1,1219,942,1330.5900000000001,747.68
12,96,571,1,1408,1041,1568.17,884.8
12,96,667,1,1561,1161,1797.33,980.53
12,96,763,1,1750,1283,2090.74,1102.22
12,96,859,1,1895,1414,2317.4100000000003,1224.59
12,96,955,1,2062,1491,2607.11,1330.71
12,384,379,1,1084,905,1085.44,718.91
12,384,763,1,2213,1717,2223.2699999999995,1394.89
12,384,1147,1,3241,2454,3305.4700000000003,1986.6
12,384,1531,1,4260,3069,4348.09,2571.48
12,384,1915,1,5225,3702,5400.639999999999,3332.54
12,384,2299,1,6298,4283,6392.369999999999,3937.14
12,384,2683,1,7407,4851,7370.1,4542.39
12,384,3067,1,8492,5422,8445.73,5144.2
12,384,3451,1,9698,5776,9484.919999999998,5695.24
12,384,3835,1,10969,6143,10261.48,6167.53
24,12,7,1,18,18,15.88,17.56
24,12,19,1,44,44,50.02,36.7
24,12,31,1,76,79,87.6,65.29
24,12,43,1,112,104,126.88000000000001,85.26
24,12,55,1,130,119,152.57999999999998,91.76
24,12,67,1,160,152,192.08,119.35
24,12,79,1,195,170,224.48000000000002,130.57
24,12,91,1,232,183,250.79000000000005,142.3
24,12,103,1,260,222,292.29999999999995,170.31
24,12,115,1,295,240,325.14,180.0
24,24,19,1,44,44,53.28,40.63
24,24,43,1,118,107,135.92,92.85
24,24,67,1,171,151,191.26,113.77
24,24,91,1,239,198,265.96000000000004,154.0
24,24,115,1,295,247,330.28999999999996,186.2
24,24,139,1,378,293,403.81,234.67
24,24,163,1,427,323,458.72999999999996,258.18
24,24,187,1,475,361,515.25,293.95
24,24,211,1,539,416,587.13,318.77
24,24,235,1,594,475,654.96,358.82
24,96,91,1,248,221,263.3,172.59
24,96,187,1,514,440,539.8,346.09
24,96,283,1,801,643,831.8799999999999,499.54
24,96,379,1,1036,783,1085.27,640.59
24,96,475,1,1277,976,1366.4099999999999,796.04
24,96,571,1,1523,1141,1617.42,942.01
24,96,667,1,1769,1322,1855.0700000000002,1075.64
24,96,763,1,2038,1462,2203.09,1227.52
