source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
1536,1536,1536,1,4545,3765,4577.86,3388.54
1536,1536,4608,1,13824,10376,13819.99,9203.05
1536,1536,7680,1,23142,16755,23147.43,14755.3
1536,1536,10752,1,32159,22924,32192.95,20279.51
1536,1536,13824,1,41459,28996,41469.92,25563.33
1536,1536,1536,2,4550,3769,4581.78,3372.83
1536,1536,4608,2,13841,10360,13841.68,9192.14
1536,1536,7680,2,22983,16695,22975.78,14656.1
1536,1536,10752,2,32319,22976,32321.11,20363.07
1536,1536,13824,2,41379,29061,41388.84,25520.99
1536,1536,1536,3,4557,3790,4584.42,3385.24
1536,1536,4608,3,13811,10289,13806.71,9133.53
1536,1536,7680,3,23069,16787,23070.84,14752.01
1536,1536,10752,3,32130,22708,32121.28,20214.18
1536,1536,13824,3,41387,29069,41427.66,25612.21
