repeats,time,VRP_distance
0,2,3374.0
0,4,3374.0
0,6,3352.08
0,8,3323.87
0,10,3296.8
0,12,3276.18
0,14,3265.32
0,16,3256.33
0,18,3250.51
0,20,3248.12
0,22,3245.72
0,24,3244.08
0,26,3232.09
0,28,3216.74
0,30,3212.12
0,32,3209.33
0,34,3209.33
0,36,3209.33
0,38,3209.17
0,40,3207.8
0,42,3205.68
0,44,3203.4
0,46,3201.08
0,48,3198.87
0,50,3198.87
0,52,3198.27
0,54,3196.06
0,56,3196.06
0,58,3196.06
0,60,3196.06
0,62,3196.06
0,64,3195.97
0,66,3195.97
0,68,3195.97
0,70,3195.92
1,2,3420.14
1,4,3420.14
1,6,3390.48
1,8,3364.4
1,10,3337.68
1,12,3326.11
1,14,3307.99
1,16,3298.9
1,18,3294.75
1,20,3293.23
1,22,3318.76
1,24,3291.4
1,26,3281.32
1,28,3264.6
1,30,3262.59
1,32,3262.59
1,34,3262.59
1,36,3262.59
1,38,3253.41
1,40,3249.68
1,42,3247.87
1,44,3246.66
1,46,3242.45
1,48,3242.45
1,50,3242.45
1,52,3331.38
1,54,3236.04
1,56,3236.04
1,58,3236.0
1,60,3236.0
1,62,3236.0
1,64,3236.0
1,66,3236.0
1,68,3236.0
1,70,3236.0
2,2,3426.21
2,4,3424.79
2,6,3397.36
2,8,3363.8
2,10,3341.43
2,12,3322.07
2,14,3308.16
2,16,3304.16
2,18,3299.25
2,20,3297.28
2,22,3296.43
2,24,3288.14
2,26,3277.58
2,28,3273.27
2,30,3273.27
2,32,3273.27
2,34,3273.23
2,36,3270.13
2,38,3266.25
2,40,3265.89
2,42,3264.61
2,44,3260.87
2,46,3260.56
2,48,3260.56
2,50,3260.34
2,52,3256.5
2,54,3255.48
2,56,3255.48
2,58,3255.48
2,60,3255.48
2,62,3255.48
2,64,3255.48
2,66,3255.48
2,68,3255.48
2,70,3255.48
3,2,3398.77
3,4,3398.77
3,6,3376.35
3,8,3334.0
3,10,3311.87
3,12,3302.16
3,14,3290.88
3,16,3284.14
3,18,3281.98
3,20,3275.89
3,22,3273.98
3,24,3272.33
3,26,3260.58
3,28,3251.75
3,30,3248.36
3,32,3248.36
3,34,3248.36
3,36,3244.07
3,38,3241.11
3,40,3238.66
3,42,3236.48
3,44,3233.63
3,46,3233.63
3,48,3233.63
3,50,3232.43
3,52,3232.43
3,54,3230.13
3,56,3228.02
3,58,3228.02
3,60,3225.89
3,62,3225.89
3,64,3225.89
3,66,3225.89
3,68,3225.89
3,70,3225.89
4,2,3417.32
4,4,3417.32
4,6,3399.52
4,8,3368.01
4,10,3341.97
4,12,3327.43
4,14,3314.56
4,16,3307.56
4,18,3304.4
4,20,3302.48
4,22,3299.18
4,24,3295.45
4,26,3281.09
4,28,3273.71
4,30,3272.62
4,32,3272.62
4,34,3272.62
4,36,3272.62
4,38,3270.02
4,40,3263.25
4,42,3262.81
4,44,3260.66
4,46,3255.99
4,48,3255.99
4,50,3255.99
4,52,3253.08
4,54,3253.02
4,56,3253.02
4,58,3250.36
4,60,3247.37
4,62,3247.37
4,64,3247.37
4,66,3247.37
4,68,3247.37
4,70,3247.37
5,2,3461.81
5,4,3461.81
5,6,3445.3
5,8,3417.7
5,10,3394.58
5,12,3365.9
5,14,3350.32
5,16,3340.51
5,18,3332.75
5,20,3326.84
5,22,3326.76
5,24,3326.76
5,26,3316.79
5,28,3311.61
5,30,3308.74
5,32,3308.74
5,34,3308.74
5,36,3308.6
5,38,3304.31
5,40,3302.76
5,42,3301.44
5,44,3301.12
5,46,3297.37
5,48,3297.37
5,50,3297.37
5,52,3295.65
5,54,3295.54
5,56,3295.49
5,58,3295.47
5,60,3295.47
5,62,3295.47
5,64,3295.47
5,66,3295.44
5,68,3295.44
5,70,3295.44
