iteration,number of jobs,unoptimized,rowwise,greedy,VRP
1,88,0,0,82.0,0
2,309,461,344,484.0,277
3,293,460,430,487.0,288
4,300,448,429,490.0,281
5,308,455,440,513.0,298
6,295,422,413,485.0,289
7,295,437,416,478.0,280
8,301,455,410,497.0,288
9,324,486,389,515.0,299
10,309,473,461,511.0,298
11,288,422,417,474.0,281
12,300,436,412,491.0,289
13,291,438,382,474.0,271
14,298,435,400,497.0,279
15,308,449,420,508.0,291
16,88,0,0,84.0,0
17,323,480,383,499.0,298
18,317,471,414,507.0,305
19,305,445,438,501.0,295
20,297,441,411,485.0,286
21,309,451,401,510.0,297
22,307,448,405,498.0,296
23,310,463,393,503.0,295
