source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
1536,1536,1531,1,2661,2056,2577.0,1843
1536,1536,3067,1,5358,3816,5055.0,3312
1536,1536,4603,1,8048,5452,7318.0,4688
1536,1536,6139,1,10541,7038,9441.0,6244
1536,1536,7675,1,13145,8523,11536.0,7610
1536,1536,9211,1,16037,10243,13994.0,8993
1536,1536,10747,1,18692,11898,16179.0,10431
1536,1536,12283,1,21431,13433,18253.0,11808
1536,1536,13819,1,24003,14789,20279.0,13113
1536,1536,15355,1,26674,16457,22558.0,14319
1536,1536,1531,2,2652,2058,2584.0,1831
1536,1536,3067,2,5356,3837,5018.0,3290
1536,1536,4603,2,7920,5375,7207.0,4654
1536,1536,6139,2,10582,6939,9423.0,6167
1536,1536,7675,2,13190,8543,11610.0,7502
1536,1536,9211,2,15971,10255,13884.0,8930
1536,1536,10747,2,18542,11639,15960.0,10324
1536,1536,12283,2,21447,13376,18304.0,11866
1536,1536,13819,2,24020,14767,20392.0,13095
1536,1536,15355,2,26557,16290,22360.0,14525
1536,1536,1531,3,2460,1954,2405.0,1725
1536,1536,3067,3,5362,3826,4982.0,3301
1536,1536,4603,3,8045,5475,7325.0,4722
1536,1536,6139,3,10692,7094,9571.0,6282
1536,1536,7675,3,12985,8418,11422.0,7552
1536,1536,9211,3,16053,10186,13912.0,9021
1536,1536,10747,3,18563,11751,16010.0,10338
1536,1536,12283,3,21432,13462,18239.0,11842
1536,1536,13819,3,24102,14958,20455.0,13164
1536,1536,15355,3,26577,16295,22510.0,14361
