source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
12,12,7,1,10,10,12.0,8
12,12,19,1,27,23,30.0,20
12,12,31,1,39,35,43.0,26
12,12,43,1,59,56,67.0,41
12,12,55,1,75,57,83.0,41
12,12,67,1,86,66,94.0,47
12,12,79,1,102,76,107.0,54
12,12,91,1,114,90,130.0,62
12,12,103,1,122,101,142.0,63
12,12,115,1,135,105,147.0,66
12,12,7,2,11,11,13.0,9
12,12,19,2,25,24,31.0,19
12,12,31,2,41,36,45.0,25
12,12,43,2,57,46,68.0,33
12,12,55,2,77,57,78.0,40
12,12,67,2,93,74,91.0,49
12,12,79,2,98,79,100.0,50
12,12,91,2,117,92,120.0,62
12,12,103,2,128,91,137.0,64
12,12,115,2,136,102,140.0,72
12,12,7,3,8,8,8.0,7
12,12,19,3,24,23,31.0,22
12,12,31,3,43,39,45.0,26
12,12,43,3,61,50,59.0,33
12,12,55,3,66,49,67.0,35
12,12,67,3,79,63,81.0,45
12,12,79,3,100,79,116.0,53
12,12,91,3,110,89,134.0,58
12,12,103,3,126,103,140.0,71
12,12,115,3,134,103,151.0,68
12,24,19,1,15,15,16.0,12
12,24,43,1,50,40,53.0,29
12,24,67,1,82,59,87.0,46
12,24,91,1,121,86,126.0,61
12,24,115,1,156,130,168.0,83
12,24,139,1,188,124,191.0,94
12,24,163,1,215,156,223.0,109
12,24,187,1,233,166,242.0,128
12,24,211,1,265,188,285.0,143
12,24,235,1,273,174,297.0,142
12,24,19,2,24,24,26.0,20
12,24,43,2,68,55,65.0,41
12,24,67,2,95,72,93.0,53
12,24,91,2,132,98,137.0,70
12,24,115,2,168,123,154.0,88
12,24,139,2,187,133,190.0,95
12,24,163,2,203,151,217.0,104
12,24,187,2,245,165,245.0,123
12,24,211,2,255,166,291.0,131
12,24,235,2,278,179,293.0,143
12,24,19,3,22,18,20.0,17
12,24,43,3,60,54,62.0,41
12,24,67,3,101,79,102.0,53
12,24,91,3,123,94,121.0,64
12,24,115,3,150,104,151.0,75
12,24,139,3,173,121,171.0,89
12,24,163,3,206,146,221.0,108
12,24,187,3,226,158,245.0,111
12,24,211,3,264,170,279.0,131
12,24,235,3,278,190,298.0,147
12,96,91,1,146,123,136.0,87
12,96,187,1,295,221,270.0,166
12,96,283,1,420,297,394.0,232
12,96,379,1,513,349,468.0,282
12,96,475,1,664,421,645.0,389
12,96,571,1,755,501,759.0,452
12,96,667,1,862,579,881.0,517
12,96,763,1,934,611,974.0,556
12,96,859,1,1001,643,1073.0,629
12,96,955,1,1069,630,1163.0,673
12,96,91,2,131,110,121.0,80
12,96,187,2,267,213,240.0,152
12,96,283,2,435,305,394.0,234
12,96,379,2,547,382,538.0,331
12,96,475,2,675,451,655.0,379
12,96,571,2,734,479,730.0,437
12,96,667,2,872,555,861.0,528
12,96,763,2,929,603,967.0,567
