source_labware,dest_labware,num_samples,repeat,unoptimized,rowwise,greedy,VRP
12,12,12,1,30,28,32.85,25.77
12,12,24,1,58,53,61.86,43.84
12,12,36,1,94,87,94.79,69.3
12,12,48,1,125,99,130.34,77.28
12,12,60,1,146,129,166.11,96.21
12,12,72,1,176,155,192.38,111.71
12,12,84,1,201,186,222.6,128.94
12,12,96,1,239,195,274.04,138.63
12,12,108,1,255,209,282.44,154.84
12,12,120,1,272,221,299.86,162.09
12,12,12,2,26,25,28.32,23.87
12,12,24,2,59,60,64.1,52.74
12,12,36,2,96,86,105.2,68.77
12,12,48,2,127,106,138.17,83.33
12,12,60,2,147,127,155.23,95.5
12,12,72,2,177,150,192.57,112.84
12,12,84,2,210,166,223.26,124.33
12,12,96,2,235,189,261.15,140.51
12,12,108,2,249,200,280.57,149.52
12,12,120,2,278,237,313.14,171.87
12,12,12,3,32,30,31.53,24.76
12,12,24,3,60,59,67.51,46.7
12,12,36,3,90,78,96.48,59.56
12,12,48,3,122,98,126.81,78.68
12,12,60,3,164,120,175.4,96.7
12,12,72,3,190,156,209.11,119.99
12,12,84,3,205,176,224.7,125.43
12,12,96,3,222,184,242.0,141.86
12,12,108,3,265,202,288.9,152.98
12,12,120,3,273,230,329.93,165.67
12,24,24,1,62,59,66.2,51.9
12,24,48,1,127,105,130.24,86.01
12,24,72,1,193,158,208.54,125.82
12,24,96,1,264,200,269.45,162.3
12,24,120,1,310,235,322.23,184.09
12,24,144,1,362,293,399.01,216.67
12,24,168,1,413,309,455.37,249.1
12,24,192,1,451,346,518.16,276.84
12,24,216,1,498,392,576.83,306.72
12,24,240,1,541,413,616.66,335.08
12,24,24,2,59,60,60.26,48.19
12,24,48,2,126,103,122.68,83.03
12,24,72,2,184,148,198.94,113.45
12,24,96,2,253,208,272.48,163.29
12,24,120,2,305,244,322.5,183.0
12,24,144,2,352,267,384.55,214.94
12,24,168,2,410,323,446.87,251.51
12,24,192,2,453,357,512.71,271.01
12,24,216,2,490,362,563.32,296.09
12,24,240,2,529,402,630.71,321.95
12,24,24,3,61,58,65.48,49.0
12,24,48,3,132,110,134.91,87.14
12,24,72,3,198,168,206.65,129.56
12,24,96,3,248,190,259.03,146.39
